#Data tag : 24v2 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
361318:8322,10/29/22 23:24:17,457,457,0.195973233,0.186720226
361319:8322,10/30/22 02:23:53,162,162,0.070810027,0.068127835
361320:8322,10/30/22 03:42:46,382,382,0.153933603,0.147433843
361333:8324,10/30/22 10:06:23,302,302,0.125371336,0.119553876
361361:8327,10/31/22 02:35:35,45,45,0.018015764,0.014922628
361362:8327,10/31/22 02:56:28,28,28,0.006938084,0.006330990
361363:8327,10/31/22 03:10:21,22,22,0.009038134,0.007933130
361365:8327,10/31/22 04:28:09,462,462,0.201248508,0.189919423
361366:8327,10/31/22 07:40:31,201,201,0.077946933,0.073492105
361400:8330,10/31/22 17:20:30,456,456,0.192093753,0.182377034
361417:8331,11/01/22 04:24:44,1622,1622,0.636157087,0.608633064
361443:8333,11/01/22 18:11:32,2267,2267,0.801346197,0.769173860
361468:8334,11/02/22 11:35:09,1872,1872,0.731483065,0.693215183
361475:8335,11/03/22 02:17:52,1226,1226,0.501658449,0.479972124
361512:8342,11/03/22 20:42:36,1531,1531,0.598313103,0.573340475
361569:8345,11/04/22 21:57:59,564,564,0.237080691,0.226224268
361573:8345,11/05/22 01:48:33,305,305,0.127506069,0.121532869
361579:8347,11/05/22 08:31:22,863,863,0.361010030,0.342180649
361580:8347,11/05/22 14:13:00,422,422,0.146208966,0.140259309
361957:8385,11/12/22 07:34:53,1163,1163,0.333436503,0.323771436
361971:8387,11/12/22 17:51:37,2325,2325,0.833568032,0.799743761
361989:8389,11/13/22 14:16:41,113,113,0.043391176,0.041308701
361990:8389,11/13/22 15:03:08,204,204,0.088003175,0.084157252
361994:8389,11/13/22 16:39:23,116,116,0.050341982,0.047399399
362058:8395,11/14/22 16:00:57,168,168,0.065870940,0.061779813
362059:8395,11/14/22 17:09:39,62,62,0.026636733,0.025043044
362060:8395,11/14/22 17:39:17,84,84,0.036658439,0.035048336
362061:8395,11/14/22 18:16:14,311,311,0.134489798,0.127733370
362062:8395,11/14/22 20:20:50,206,206,0.088109469,0.083450958
362063:8395,11/14/22 21:46:25,86,86,0.034246018,0.032763131
362064:8395,11/14/22 23:15:16,973,973,0.288038377,0.277999081
362087:8398,11/15/22 12:07:32,145,145,0.063964823,0.060412714
362091:8398,11/15/22 13:07:33,1418,1418,0.520131211,0.496209918
362104:8399,11/16/22 01:17:50,115,115,0.043028024,0.041085542
362105:8399,11/16/22 02:07:18,179,179,0.076773990,0.073123214
362106:8399,11/16/22 03:21:10,78,78,0.033380821,0.032288451
362107:8399,11/16/22 03:54:57,782,782,0.328311771,0.313860982
362148:8401,11/16/22 13:18:54,720,720,0.303143003,0.288720985
362153:8401,11/16/22 18:05:40,140,140,0.060888530,0.056974819
362154:8401,11/16/22 19:04:32,784,784,0.276255421,0.264980179
362159:8402,11/17/22 02:22:26,7,7,0.001915149,0.001662832
362161:8402,11/17/22 02:36:51,120,120,0.051050559,0.048928735
362163:8402,11/17/22 03:27:43,65,65,0.027997266,0.026361137
362166:8402,11/17/22 03:55:09,331,331,0.142959132,0.137306173
362167:8402,11/17/22 06:08:33,646,646,0.266380908,0.255683413
362437:8456,11/21/22 11:53:12,31,31,0.011505452,0.009766000
362439:8456,11/21/22 13:08:41,1374,1374,0.528865965,0.506073917
362597:8471,11/23/22 21:16:30,139,139,0.059784040,0.057671469
362614:8474,11/24/22 06:40:41,153,153,0.069212131,0.064255070
362615:8474,11/24/22 07:43:24,149,149,0.071404259,0.066283169
362616:8474,11/24/22 08:45:49,350,350,0.169143371,0.158203139
362617:8474,11/24/22 11:07:16,242,242,0.112855954,0.106789528
362618:8474,11/24/22 12:44:46,263,263,0.103759258,0.097264763
362653:8484,11/25/22 07:53:12,266,266,0.107975154,0.102033856
362654:8484,11/25/22 09:39:59,26,26,0.011470235,0.010606216
362655:8484,11/25/22 10:00:15,333,333,0.147807042,0.140460920
362657:8484,11/25/22 12:32:35,198,198,0.083689220,0.080388442
362695:8489,11/26/22 00:41:34,334,334,0.136457491,0.128510059
362696:8489,11/26/22 02:52:11,1711,1711,0.609427589,0.585028574
362698:8489,11/26/22 14:10:14,374,374,0.083703241,0.080857402
362720:8491,11/26/22 22:59:02,896,896,0.371789646,0.354730021
362727:8491,11/27/22 05:16:11,4,4,0.001603380,0.001411172
362728:8491,11/27/22 05:21:34,385,385,0.149508642,0.142551532
362757:8496,11/27/22 22:14:46,62,62,0.021364208,0.019510115
362758:8496,11/27/22 22:43:07,205,205,0.087135713,0.082564202
362760:8496,11/28/22 00:16:05,728,728,0.295604738,0.282294081
#Summary:
#nfill,nrun,nls,ncms,totdelivered(/fb),totrecorded(/fb)
#77,190,81194,81194,27.861527754,26.596267440
#Check JSON:
#(run,ls) in json but not in results: []
